timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
1755872409.050954271,f8cd685deea1,multi-proxy2,130.63%,309.3MiB / 31.15GiB,0.97%,62.5MB / 528kB,73.7kB / 0B,49
1755872412.584738577,87ffcb507c59,multi-proxy0,69.29%,222.8MiB / 31.15GiB,0.70%,46.7MB / 915kB,1.84MB / 0B,46
1755872412.584738577,4ab2f4d499aa,multi-proxy1,122.12%,224.5MiB / 31.15GiB,0.70%,36.1MB / 626kB,406kB / 0B,49
1755872412.584738577,f8cd685deea1,multi-proxy2,158.94%,304.1MiB / 31.15GiB,0.95%,64MB / 537kB,73.7kB / 0B,49
1755872416.118828121,87ffcb507c59,multi-proxy0,67.15%,226.8MiB / 31.15GiB,0.71%,48MB / 929kB,1.84MB / 0B,46
1755872416.118828121,4ab2f4d499aa,multi-proxy1,129.35%,236.1MiB / 31.15GiB,0.74%,37MB / 636kB,406kB / 0B,49
1755872416.118828121,f8cd685deea1,multi-proxy2,141.92%,306.7MiB / 31.15GiB,0.96%,65MB / 544kB,73.7kB / 0B,49
1755872419.656829228,87ffcb507c59,multi-proxy0,69.90%,232MiB / 31.15GiB,0.73%,49.5MB / 948kB,1.84MB / 0B,46
1755872419.656829228,4ab2f4d499aa,multi-proxy1,128.57%,231.8MiB / 31.15GiB,0.73%,37.7MB / 647kB,406kB / 0B,49
1755872419.656829228,f8cd685deea1,multi-proxy2,143.49%,308.3MiB / 31.15GiB,0.97%,65.8MB / 549kB,73.7kB / 0B,49
1755872423.191082903,87ffcb507c59,multi-proxy0,73.94%,236MiB / 31.15GiB,0.74%,50.7MB / 967kB,1.84MB / 0B,46
1755872423.191082903,4ab2f4d499aa,multi-proxy1,123.76%,242MiB / 31.15GiB,0.76%,38.4MB / 656kB,406kB / 0B,49
1755872423.191082903,f8cd685deea1,multi-proxy2,149.26%,311.9MiB / 31.15GiB,0.98%,67MB / 556kB,73.7kB / 0B,49
1755872426.729120925,87ffcb507c59,multi-proxy0,64.65%,239.2MiB / 31.15GiB,0.75%,51.6MB / 977kB,1.84MB / 0B,46
1755872426.729120925,4ab2f4d499aa,multi-proxy1,118.98%,236MiB / 31.15GiB,0.74%,39.1MB / 666kB,406kB / 0B,49
1755872426.729120925,f8cd685deea1,multi-proxy2,149.91%,329.3MiB / 31.15GiB,1.03%,67.9MB / 566kB,73.7kB / 0B,49
1755872430.262183002,87ffcb507c59,multi-proxy0,64.36%,256.3MiB / 31.15GiB,0.80%,52.9MB / 994kB,1.84MB / 0B,46
1755872430.262183002,4ab2f4d499aa,multi-proxy1,133.57%,237.2MiB / 31.15GiB,0.74%,39.6MB / 672kB,406kB / 0B,49
1755872430.262183002,f8cd685deea1,multi-proxy2,147.82%,331.6MiB / 31.15GiB,1.04%,68.5MB / 570kB,73.7kB / 0B,49
1755872433.799717459,87ffcb507c59,multi-proxy0,73.29%,251.3MiB / 31.15GiB,0.79%,53.8MB / 1.01MB,1.84MB / 0B,46
1755872433.799717459,4ab2f4d499aa,multi-proxy1,146.66%,242.6MiB / 31.15GiB,0.76%,40.6MB / 684kB,406kB / 0B,49
1755872433.799717459,f8cd685deea1,multi-proxy2,145.65%,322.8MiB / 31.15GiB,1.01%,69.4MB / 577kB,73.7kB / 0B,49
1755872437.332944120,87ffcb507c59,multi-proxy0,80.61%,250.4MiB / 31.15GiB,0.78%,55.3MB / 1.04MB,1.84MB / 0B,46
1755872437.332944120,4ab2f4d499aa,multi-proxy1,123.73%,249.4MiB / 31.15GiB,0.78%,41.4MB / 694kB,406kB / 0B,49
1755872437.332944120,f8cd685deea1,multi-proxy2,145.23%,326.2MiB / 31.15GiB,1.02%,70.3MB / 583kB,73.7kB / 0B,49
1755872440.878684847,87ffcb507c59,multi-proxy0,72.26%,254.9MiB / 31.15GiB,0.80%,56.4MB / 1.05MB,1.84MB / 0B,46
1755872440.878684847,4ab2f4d499aa,multi-proxy1,130.75%,251.7MiB / 31.15GiB,0.79%,42.2MB / 704kB,406kB / 0B,50
1755872440.878684847,f8cd685deea1,multi-proxy2,161.56%,333.1MiB / 31.15GiB,1.04%,71.6MB / 590kB,73.7kB / 0B,49
1755872444.420030750,87ffcb507c59,multi-proxy0,68.87%,256.4MiB / 31.15GiB,0.80%,57.2MB / 1.06MB,1.84MB / 0B,46
1755872444.420030750,4ab2f4d499aa,multi-proxy1,142.04%,255.3MiB / 31.15GiB,0.80%,43MB / 713kB,406kB / 0B,50
1755872444.420030750,f8cd685deea1,multi-proxy2,162.63%,350.6MiB / 31.15GiB,1.10%,73.1MB / 597kB,73.7kB / 0B,49
1755872447.953948874,87ffcb507c59,multi-proxy0,76.19%,257.3MiB / 31.15GiB,0.81%,58.4MB / 1.08MB,1.84MB / 0B,46
1755872447.953948874,4ab2f4d499aa,multi-proxy1,121.75%,256.7MiB / 31.15GiB,0.80%,43.6MB / 719kB,406kB / 0B,50
1755872447.953948874,f8cd685deea1,multi-proxy2,159.21%,343.7MiB / 31.15GiB,1.08%,74.8MB / 605kB,73.7kB / 0B,49
1755872451.491572286,87ffcb507c59,multi-proxy0,78.64%,262.2MiB / 31.15GiB,0.82%,59.4MB / 1.1MB,1.84MB / 0B,46
1755872451.491572286,4ab2f4d499aa,multi-proxy1,129.79%,261MiB / 31.15GiB,0.82%,44.5MB / 732kB,406kB / 0B,50
1755872451.491572286,f8cd685deea1,multi-proxy2,162.00%,363.7MiB / 31.15GiB,1.14%,76.2MB / 611kB,73.7kB / 0B,49
1755872455.031894495,87ffcb507c59,multi-proxy0,78.68%,265.9MiB / 31.15GiB,0.83%,60.9MB / 1.12MB,1.84MB / 0B,46
1755872455.031894495,4ab2f4d499aa,multi-proxy1,126.30%,263.5MiB / 31.15GiB,0.83%,45.2MB / 742kB,406kB / 0B,50
1755872455.031894495,f8cd685deea1,multi-proxy2,154.85%,368.1MiB / 31.15GiB,1.15%,77.7MB / 618kB,73.7kB / 0B,49
1755872458.567696781,87ffcb507c59,multi-proxy0,84.04%,265.6MiB / 31.15GiB,0.83%,61.6MB / 1.13MB,1.84MB / 0B,46
1755872458.567696781,4ab2f4d499aa,multi-proxy1,155.49%,266.3MiB / 31.15GiB,0.83%,45.8MB / 751kB,406kB / 0B,50
1755872458.567696781,f8cd685deea1,multi-proxy2,156.78%,362.9MiB / 31.15GiB,1.14%,79.4MB / 626kB,73.7kB / 0B,49
1755872462.102345941,87ffcb507c59,multi-proxy0,83.42%,285MiB / 31.15GiB,0.89%,62.9MB / 1.15MB,1.84MB / 0B,46
1755872462.102345941,4ab2f4d499aa,multi-proxy1,127.87%,267.9MiB / 31.15GiB,0.84%,46.3MB / 757kB,406kB / 0B,50
1755872462.102345941,f8cd685deea1,multi-proxy2,161.23%,379.6MiB / 31.15GiB,1.19%,80.3MB / 631kB,73.7kB / 0B,49
1755872464.635593583,87ffcb507c59,multi-proxy0,76.76%,275.5MiB / 31.15GiB,0.86%,64.1MB / 1.17MB,1.84MB / 0B,46
1755872464.635593583,4ab2f4d499aa,multi-proxy1,122.00%,270.6MiB / 31.15GiB,0.85%,46.9MB / 766kB,406kB / 0B,50
1755872464.635593583,f8cd685deea1,multi-proxy2,165.71%,384.7MiB / 31.15GiB,1.21%,81.4MB / 636kB,73.7kB / 0B,49
1755872468.170557686,87ffcb507c59,multi-proxy0,90.21%,278.1MiB / 31.15GiB,0.87%,65MB / 1.18MB,1.84MB / 0B,46
1755872468.170557686,4ab2f4d499aa,multi-proxy1,136.56%,272.7MiB / 31.15GiB,0.85%,47.5MB / 772kB,406kB / 0B,50
1755872468.170557686,f8cd685deea1,multi-proxy2,162.85%,378.3MiB / 31.15GiB,1.19%,83.2MB / 645kB,73.7kB / 0B,49
1755872471.707411199,87ffcb507c59,multi-proxy0,75.43%,280.4MiB / 31.15GiB,0.88%,66.3MB / 1.21MB,1.84MB / 0B,46
1755872471.707411199,4ab2f4d499aa,multi-proxy1,132.35%,279MiB / 31.15GiB,0.87%,48.4MB / 786kB,406kB / 0B,50
1755872471.707411199,f8cd685deea1,multi-proxy2,167.23%,397.2MiB / 31.15GiB,1.25%,84.4MB / 650kB,73.7kB / 0B,49
1755872475.243811425,87ffcb507c59,multi-proxy0,89.28%,286MiB / 31.15GiB,0.90%,67.2MB / 1.22MB,1.84MB / 0B,46
